Price,Latitude,Longitude
"$425,500 ",37.7640027,-122.4179591
"$1,160,000 ",37.7905055,-122.3962516
"$774,025 ",37.77393,-122.396241
"$660,000 ",37.7606204,-122.4748046
"$450,000 ",37.7589803,-122.416711
"$680,000 ",37.777347,-122.444138
"$820,000 ",37.7788114,-122.3913711
"$227,000 ",37.7373712,-122.3822944
"$476,000 ",37.7124597,-122.3943722
"$640,000 ",37.732848,-122.488351
"$1,365,000 ",37.7875299,-122.454018
"$470,000 ",37.7580251,-122.4693471
"$945,000 ",37.757201,-122.432174
"$475,000 ",37.714149,-122.401075
"$850,000 ",37.74145,-122.420914
"$459,000 ",37.713689,-122.407911
"$275,000 ",37.7464497,-122.4404387
"$720,000 ",37.7735294,-122.4388653
"$450,000 ",37.7451062,-122.4156784
"$699,000 ",37.745178,-122.415507
"$860,000 ",37.7774314,-122.3937066
"$1,400,000 ",37.791114,-122.429586
"$655,000 ",37.782245,-122.457454
"$1,500 ",37.774459,-122.3995888
"$707,000 ",37.7782409,-122.3932237
"$582,000 ",37.776381,-122.44569
"$725,000 ",37.7859942,-122.48533
"$952,000 ",37.7806904,-122.3892201
"$778,000 ",37.748436,-122.432181
"$790,000 ",37.7901413,-122.4306658
"$710,000 ",37.776381,-122.44569
"$719,000 ",37.781694,-122.481297
"$850,000 ",37.7794539,-122.3966763
"$370,000 ",37.7109141,-122.4118388
"$744,000 ",37.764728,-122.474315
"$1,140,000 ",37.78629,-122.401375
"$625,000 ",37.7638567,-122.4032332
"$730,000 ",37.7601821,-122.3909801
"$512,000 ",37.789945,-122.412727
"$685,000 ",37.7887169,-122.418436
"$208,000 ",37.7749295,-122.4194155
"$680,000 ",37.783203,-122.4205684
"$920,000 ",37.7905055,-122.3962516
"$1,900,000 ",37.7986359,-122.4132054
"$1,025,000 ",37.792757,-122.416471
"$377,000 ",37.782389,-122.426668
"$1,890,000 ",37.760307,-122.450039
"$1,300,000 ",37.753366,-122.443062
"$1,130,000 ",37.7905055,-122.3962516
"$231,255 ",37.7272102,-122.3956769
"$480,000 ",37.7824829,-122.4205412
"$588,000 ",37.755107,-122.475757
"$809,900 ",37.7615871,-122.4436909
"$750,000 ",37.8030606,-122.421044
"$554,100 ",37.7749295,-122.4194155
"$2,004,000 ",37.7905055,-122.3962516
"$550,000 ",37.7451087,-122.4079594
"$1,025,000 ",37.733822,-122.454103
"$1,340,000 ",37.7882516,-122.4030794
"$380,000 ",37.7722206,-122.5101541
"$820,637 ",37.763562,-122.445116
"$565,000 ",37.754334,-122.444984
"$2,000,000 ",37.78629,-122.401375
"$1,450,000 ",37.786541,-122.438203
"$1,880,000 ",37.7905055,-122.3962516
"$205,720 ",37.7835714,-122.3907007
"$625,000 ",37.7638567,-122.4032332
"$231,600 ",37.728385,-122.390586
"$972,350 ",37.783203,-122.4205684
"$315,000 ",37.717655,-122.456332
"$1,300,000 ",37.777822,-122.468677
"$263,803 ",37.7270501,-122.3951533
"$525,000 ",37.789945,-122.412727
"$649,000 ",37.790214,-122.4213623
"$605,000 ",37.783203,-122.4205684
"$512,000 ",37.75652,-122.476256
"$600,000 ",37.745211,-122.506769
"$260,000 ",37.7171247,-122.4403048
"$700,000 ",37.745402,-122.434331
"$1,220,000 ",37.766295,-122.4471356
"$575,000 ",37.754807,-122.485858
"$637,000 ",37.732105,-122.446353
"$875,000 ",37.764941,-122.431219
"$715,000 ",37.801787,-122.408327
"$750,000 ",37.7843063,-122.4222924
"$360,000 ",37.7722206,-122.5101541
"$2,750,000 ",37.7905055,-122.3962516
"$660,000 ",37.7638567,-122.4032332
"$310,000 ",37.7358417,-122.3983415
"$550,000 ",37.7341119,-122.4171465
"$949,050 ",37.7932119,-122.423746
"$820,000 ",37.7859942,-122.48533
"$608,000 ",37.7580699,-122.48716
"$571,000 ",37.744463,-122.501914
